timestamp,CH_forecast,CH_actual
2020-03-14T04:00:00Z,6366.374698995798,6331.72
2020-03-14T05:00:00Z,6401.9025670546225,6416.56
2020-03-14T06:00:00Z,6620.976966144713,6409.55
2020-03-14T07:00:00Z,7056.100068045874,6229.15
2020-03-14T08:00:00Z,7432.242787129617,6486.02
2020-03-14T09:00:00Z,7516.412935198554,6824.09
2020-03-14T10:00:00Z,7591.903634215335,7814.23
2020-03-14T11:00:00Z,7615.8560621153565,8114.89
2020-03-14T12:00:00Z,7332.220199530605,8130.53
2020-03-14T13:00:00Z,7300.211642684579,8193.01
2020-03-14T14:00:00Z,7162.2352013055915,7990.76
2020-03-14T15:00:00Z,6996.477818251054,7818.74
2020-03-14T16:00:00Z,6901.431673053508,7602.53
2020-03-14T17:00:00Z,6920.173958730768,7138.13
2020-03-14T18:00:00Z,7288.70944015233,7376.65
2020-03-14T19:00:00Z,7219.398463727006,7385.0
2020-03-14T20:00:00Z,6806.993546700106,7101.32
2020-03-14T21:00:00Z,6414.3982179903605,7335.08
2020-03-14T22:00:00Z,6263.688023986437,7267.67
2020-03-14T23:00:00Z,6135.92120757068,7433.5
2020-03-15T00:00:00Z,6135.624284315481,7468.59
2020-03-15T01:00:00Z,6142.322273934401,7473.13
2020-03-15T02:00:00Z,6167.676509124905,7482.25
2020-03-15T03:00:00Z,6189.382939484511,7557.54
2020-03-15T04:00:00Z,7451.801211883573,7438.28
2020-03-15T05:00:00Z,7516.342869080109,7380.67
2020-03-15T06:00:00Z,7714.260348830087,7096.68
2020-03-15T07:00:00Z,8021.876330556749,6903.05
2020-03-15T08:00:00Z,8349.114897835518,7177.25
2020-03-15T09:00:00Z,8489.066136769741,7291.22
2020-03-15T10:00:00Z,8769.41715570121,7473.16
2020-03-15T11:00:00Z,8856.201261458691,7536.36
2020-03-15T12:00:00Z,8675.041024864317,7462.62
2020-03-15T13:00:00Z,8688.073484355002,7105.34
2020-03-15T14:00:00Z,8533.149738591728,7001.89
2020-03-15T15:00:00Z,8374.824681411335,6878.28
2020-03-15T16:00:00Z,8260.357273206464,7099.16
2020-03-15T17:00:00Z,8189.044388539995,7105.86
2020-03-15T18:00:00Z,8518.5142629314,7597.99
2020-03-15T19:00:00Z,8419.0536432589,7110.95
2020-03-15T20:00:00Z,8036.390658834401,6835.97
2020-03-15T21:00:00Z,7784.179326451497,6775.6
2020-03-15T22:00:00Z,7659.983643194266,6504.47
2020-03-15T23:00:00Z,7624.559749474545,6697.57
2020-03-16T00:00:00Z,7672.854393265599,7114.58
2020-03-16T01:00:00Z,7699.197921983179,7052.43
2020-03-16T02:00:00Z,7733.471425057991,7006.85
2020-03-16T03:00:00Z,7788.021499868261,7121.95
2020-03-16T04:00:00Z,7023.160907223827,7220.33
2020-03-16T05:00:00Z,7055.174635432894,7621.29
2020-03-16T06:00:00Z,7176.321805344591,7364.83
2020-03-16T07:00:00Z,7450.754423621056,7802.29
2020-03-16T08:00:00Z,7780.13734657579,7982.42
2020-03-16T09:00:00Z,7882.165118273128,7942.07
2020-03-16T10:00:00Z,8026.221851971092,8688.44
2020-03-16T11:00:00Z,8072.928656561185,8983.45
2020-03-16T12:00:00Z,7878.063882403349,8889.77
2020-03-16T13:00:00Z,7798.464461537071,8594.27
2020-03-16T14:00:00Z,7662.453146615446,8132.15
2020-03-16T15:00:00Z,7512.436449349492,7573.0
2020-03-16T16:00:00Z,7486.292023678197,7290.16
2020-03-16T17:00:00Z,7491.663205506211,7288.34
2020-03-16T18:00:00Z,7872.494353955655,7752.27
2020-03-16T19:00:00Z,7676.994053417528,7937.78
2020-03-16T20:00:00Z,7301.378514581825,7579.77
2020-03-16T21:00:00Z,7012.250234766666,7207.5
2020-03-16T22:00:00Z,6844.94146749666,6977.57
2020-03-16T23:00:00Z,6823.123540321833,6597.54
2020-03-17T00:00:00Z,6949.576860093826,6595.14
2020-03-17T01:00:00Z,6956.262949553033,7418.1
2020-03-17T02:00:00Z,6974.49050364487,7439.98
2020-03-17T03:00:00Z,7035.888003161544,7454.39
2020-03-17T04:00:00Z,7390.382741813538,7363.71
2020-03-17T05:00:00Z,7518.767836602657,7427.82
2020-03-17T06:00:00Z,7623.119307379477,7242.12
2020-03-17T07:00:00Z,8007.389457510056,7615.03
2020-03-17T08:00:00Z,8312.500663863815,7795.14
2020-03-17T09:00:00Z,8383.473768649172,7707.03
2020-03-17T10:00:00Z,8660.717166123663,7769.68
2020-03-17T11:00:00Z,8761.448977235785,8175.04
2020-03-17T12:00:00Z,8571.946466013515,7902.4
2020-03-17T13:00:00Z,8492.330902734806,7656.54
2020-03-17T14:00:00Z,8278.80957748986,7430.09
2020-03-17T15:00:00Z,8034.598150291899,7495.67
2020-03-17T16:00:00Z,7910.289564651366,7356.55
2020-03-17T17:00:00Z,7911.852431216559,7226.24
2020-03-17T18:00:00Z,8291.223887495848,7667.13
2020-03-17T19:00:00Z,8228.082021465654,7782.47
2020-03-17T20:00:00Z,7840.824513142545,7422.37
2020-03-17T21:00:00Z,7500.59786571904,7105.61
2020-03-17T22:00:00Z,7338.26319360463,7074.76
2020-03-17T23:00:00Z,7204.656756590954,6768.7
2020-03-18T00:00:00Z,7253.436004317693,6493.25
2020-03-18T01:00:00Z,7452.307148082863,6512.89
2020-03-18T02:00:00Z,7482.951251497992,6709.36
2020-03-18T03:00:00Z,7525.661670989075,6832.55
2020-03-18T04:00:00Z,6743.357712760821,6929.46
2020-03-18T05:00:00Z,6811.290896131493,6928.12
2020-03-18T06:00:00Z,6904.620478888147,7240.91
