timestamp,FR_forecast,FR_actual
2020-03-14T04:00:00Z,51377.0820909216,50296.0
2020-03-14T05:00:00Z,56587.507034044946,52114.0
2020-03-14T06:00:00Z,60451.018548078435,53386.0
2020-03-14T07:00:00Z,62168.1606295737,55428.0
2020-03-14T08:00:00Z,62357.14822373401,57123.0
2020-03-14T09:00:00Z,61634.152148025634,57055.0
2020-03-14T10:00:00Z,61362.55442338114,56795.0
2020-03-14T11:00:00Z,61491.55912366158,58217.0
2020-03-14T12:00:00Z,59563.78857984976,56254.0
2020-03-14T13:00:00Z,57418.65994228931,53637.0
2020-03-14T14:00:00Z,55315.556229610826,51451.0
2020-03-14T15:00:00Z,54041.45429228749,50125.0
2020-03-14T16:00:00Z,54429.27572793882,50370.0
2020-03-14T17:00:00Z,58019.33061371225,53726.0
2020-03-14T18:00:00Z,62194.71714565406,58515.0
2020-03-14T19:00:00Z,59493.36814148978,56668.0
2020-03-14T20:00:00Z,56465.41710158008,54396.0
2020-03-14T21:00:00Z,56589.228163889275,55317.0
2020-03-14T22:00:00Z,57445.80204315381,56994.0
2020-03-14T23:00:00Z,54776.82033247469,54771.0
2020-03-15T00:00:00Z,52514.823028328035,52793.0
2020-03-15T01:00:00Z,50988.4798460736,51105.0
2020-03-15T02:00:00Z,48501.86684189321,48375.0
2020-03-15T03:00:00Z,47616.10127058594,46864.0
2020-03-15T04:00:00Z,48289.92430913456,47136.0
2020-03-15T05:00:00Z,51874.93542860795,48156.0
2020-03-15T06:00:00Z,54533.24664234028,48298.0
2020-03-15T07:00:00Z,56514.09821165474,49578.0
2020-03-15T08:00:00Z,57609.21684891871,50784.0
2020-03-15T09:00:00Z,57399.32578464688,50989.0
2020-03-15T10:00:00Z,57303.872507347616,51374.0
2020-03-15T11:00:00Z,58023.017361398524,53144.0
2020-03-15T12:00:00Z,56227.86427016854,50475.0
2020-03-15T13:00:00Z,53928.466474690154,47519.0
2020-03-15T14:00:00Z,51895.296152030394,44967.0
2020-03-15T15:00:00Z,50666.76949322872,43771.0
2020-03-15T16:00:00Z,51031.90763742561,44540.0
2020-03-15T17:00:00Z,54593.21888152583,48134.0
2020-03-15T18:00:00Z,58915.51252975935,54630.0
2020-03-15T19:00:00Z,56191.839641997176,53625.0
2020-03-15T20:00:00Z,53417.46364325718,51975.0
2020-03-15T21:00:00Z,53799.4216770687,52992.0
2020-03-15T22:00:00Z,54954.761360554614,54445.0
2020-03-15T23:00:00Z,52464.88553682461,52217.0
2020-03-16T00:00:00Z,50378.41908871087,50272.0
2020-03-16T01:00:00Z,48893.7489339537,49154.0
2020-03-16T02:00:00Z,46356.76054525223,47098.0
2020-03-16T03:00:00Z,45372.63257808731,46729.0
2020-03-16T04:00:00Z,48512.37093113802,49734.0
2020-03-16T05:00:00Z,52100.42794220558,54216.0
2020-03-16T06:00:00Z,54457.25352219278,57147.0
2020-03-16T07:00:00Z,56092.68514434311,59808.0
2020-03-16T08:00:00Z,56849.17387439499,60578.0
2020-03-16T09:00:00Z,56619.05461175192,60224.0
2020-03-16T10:00:00Z,56687.34784023812,60432.0
2020-03-16T11:00:00Z,57514.967058182505,61348.0
2020-03-16T12:00:00Z,55359.013801878165,59835.0
2020-03-16T13:00:00Z,52902.55025559206,58199.0
2020-03-16T14:00:00Z,50666.92397365354,56434.0
2020-03-16T15:00:00Z,49453.23567612682,55418.0
2020-03-16T16:00:00Z,50006.421304833435,54838.0
2020-03-16T17:00:00Z,53624.852984921185,57043.0
2020-03-16T18:00:00Z,58683.494005760935,61638.0
2020-03-16T19:00:00Z,56499.75241255878,58261.0
2020-03-16T20:00:00Z,54004.67775053053,56643.0
2020-03-16T21:00:00Z,54463.8938577092,56910.0
2020-03-16T22:00:00Z,55552.45853404279,57801.0
2020-03-16T23:00:00Z,53063.47113125022,54991.0
2020-03-17T00:00:00Z,50958.25611792614,52785.0
2020-03-17T01:00:00Z,49640.42538861063,51492.0
2020-03-17T02:00:00Z,47343.44108883469,49347.0
2020-03-17T03:00:00Z,46724.96661527952,48654.0
2020-03-17T04:00:00Z,50983.40612537796,50619.0
2020-03-17T05:00:00Z,55338.324871817815,54434.0
2020-03-17T06:00:00Z,58390.71225300643,56877.0
2020-03-17T07:00:00Z,60597.87487686824,59059.0
2020-03-17T08:00:00Z,61386.327137144326,58808.0
2020-03-17T09:00:00Z,61036.99777986231,57627.0
2020-03-17T10:00:00Z,61053.418016999065,57162.0
2020-03-17T11:00:00Z,61717.35408405547,57856.0
2020-03-17T12:00:00Z,60018.72624784311,55513.0
2020-03-17T13:00:00Z,58023.261704452554,53019.0
2020-03-17T14:00:00Z,56092.65392775305,52249.14610686389
2020-03-17T15:00:00Z,54949.32199102518,52249.14610686389
2020-03-17T16:00:00Z,54957.20471080519,52249.14610686389
2020-03-17T17:00:00Z,58002.77118210473,52119.0
2020-03-17T18:00:00Z,62394.92070349603,57498.0
2020-03-17T19:00:00Z,59363.50948248365,55076.0
2020-03-17T20:00:00Z,56979.899446959294,52062.0
2020-03-17T21:00:00Z,57241.40691463033,52480.0
2020-03-17T22:00:00Z,58209.20803649947,53825.0
2020-03-17T23:00:00Z,55547.3756211902,51466.0
2020-03-18T00:00:00Z,53380.22136440123,49644.0
2020-03-18T01:00:00Z,51984.65771129605,48378.0
2020-03-18T02:00:00Z,49629.96003090795,46071.0
2020-03-18T03:00:00Z,48823.012787136424,45221.0
2020-03-18T04:00:00Z,47022.37599472432,46958.0
2020-03-18T05:00:00Z,50863.14040053089,49781.0
2020-03-18T06:00:00Z,53461.30977626148,51382.0
