timestamp,y_true,yhat,lo,hi,z_resid,flag_z,flag_cusum
2020-06-22T13:00:00Z,48231.0,48209.32900313439,47096.09510580174,49322.56290046705,,0,0
2020-06-22T14:00:00Z,46926.0,47125.184393838885,45089.473299198864,49160.895488478905,,0,0
2020-06-22T15:00:00Z,46014.0,46782.29606771816,43978.46344723284,49586.12868820349,,0,0
2020-06-22T16:00:00Z,46823.0,47990.8796059805,44539.44417241502,51442.31503954599,,0,0
2020-06-22T17:00:00Z,47652.0,49032.94218492995,45021.29648471083,53044.58788514906,,0,0
2020-06-22T18:00:00Z,47652.0,47577.241676007514,43069.036731126245,52085.44662088878,,0,0
2020-06-22T19:00:00Z,45210.0,46585.543060276825,41628.38538062275,51542.70073993089,,0,0
2020-06-22T20:00:00Z,44647.0,49013.08603223585,43643.72183831657,54382.45022615513,,0,0
2020-06-22T21:00:00Z,46267.0,50330.08686226484,44577.74454576179,56082.429178767896,,0,0
2020-06-22T22:00:00Z,42251.0,47211.27017188855,41099.818757163426,53322.72158661368,,0,0
2020-06-22T23:00:00Z,39292.0,44552.33847030238,38101.708815487225,51002.96812511753,,0,0
2020-06-23T00:00:00Z,37493.0,42857.37905677603,36084.524826243105,49630.233287308954,,0,0
2020-06-23T01:00:00Z,35118.0,40635.18324035916,33554.74953079137,47715.61694992695,,0,0
2020-06-23T02:00:00Z,34313.0,39877.61223745957,32502.413959163023,47252.81051575612,,0,0
2020-06-23T03:00:00Z,35398.0,40861.11837175003,33202.4914886176,48519.745254882466,,0,0
2020-06-23T04:00:00Z,38455.0,43290.152068233765,35358.21757285902,51222.08656360851,,0,0
2020-06-23T05:00:00Z,42874.0,46804.66743732809,38608.533892603235,55000.80098205295,,0,0
2020-06-23T06:00:00Z,46350.0,50309.08915548652,41857.010963794906,58761.16734717814,,0,0
2020-06-23T07:00:00Z,48870.0,52516.72928542395,43816.23236873907,61217.22620210883,,0,0
2020-06-23T08:00:00Z,49920.0,53589.82908259813,44647.8121122608,62531.84605293545,,0,0
2020-06-23T09:00:00Z,50963.0,54678.227757356064,45501.04472432584,63855.41079038629,,0,0
2020-06-23T10:00:00Z,52036.0,56239.16249270139,46832.6908186611,65645.63416674169,,0,0
2020-06-23T11:00:00Z,51175.0,55104.2073208071,45473.90461057755,64734.51003103665,,0,0
2020-06-23T12:00:00Z,50539.0,53862.24712388069,44013.198884174795,63711.295363586585,,0,0
2020-06-23T13:00:00Z,49260.0,49430.281826360835,48317.05400033992,50543.50965238175,,0,0
2020-06-23T14:00:00Z,48019.0,48219.02596036637,46185.49597425436,50252.55594647839,,0,0
2020-06-23T15:00:00Z,47169.0,47572.33164317186,44775.288283318354,50369.37500302537,,0,0
2020-06-23T16:00:00Z,47720.0,48457.31758662123,45017.773112803734,51896.86206043873,,0,0
2020-06-23T17:00:00Z,47885.0,49165.57372738748,45170.66095169969,53160.48650307526,,0,0
2020-06-23T18:00:00Z,45261.0,48058.723529881165,43571.63787818016,52545.80918158217,,0,0
2020-06-23T19:00:00Z,43101.0,46289.3355213411,41357.235277847794,51221.4357648344,,0,0
2020-06-23T20:00:00Z,45087.0,47515.20545365667,42174.452791166506,52855.95811614684,,0,0
2020-06-23T21:00:00Z,46182.0,48997.88133412532,43277.389513415794,54718.37315483485,,0,0
2020-06-23T22:00:00Z,42232.0,45441.03638171002,39364.41790481685,51517.65485860319,,0,0
2020-06-23T23:00:00Z,39409.0,42588.55679698846,36175.53225389848,49001.58134007843,,0,0
2020-06-24T00:00:00Z,37763.0,40805.73870043451,34073.087164121214,47538.3902367478,,0,0
2020-06-24T01:00:00Z,35511.0,38433.90875336525,31396.128230584676,45471.68927614582,,0,0
2020-06-24T02:00:00Z,34771.0,37559.25093159419,30229.030647765056,44889.47121542333,,0,0
2020-06-24T03:00:00Z,35824.0,38179.39110735636,30567.958235998583,45790.82397871413,,0,0
2020-06-24T04:00:00Z,38367.0,40327.35908924368,32444.739371559514,48209.97880692784,,0,0
2020-06-24T05:00:00Z,42551.0,43626.70124199256,35481.919002328796,51771.48348165632,,0,0
2020-06-24T06:00:00Z,46324.0,46999.80045746376,38601.034942885235,55398.565972042285,,0,0
2020-06-24T07:00:00Z,49098.0,49446.02464088114,40800.734204758766,58091.31507700352,,0,0
2020-06-24T08:00:00Z,50648.0,50693.01956049446,41808.04171442984,59577.99740655908,,0,0
2020-06-24T09:00:00Z,52087.0,51821.17362525812,42702.80666940448,60939.54058111176,,0,0
2020-06-24T10:00:00Z,53612.0,53230.95326840735,43885.02364293719,62576.88289387751,,0,0
2020-06-24T11:00:00Z,52845.0,52027.3651658783,42459.28358234536,61595.44674941124,,0,0
2020-06-24T12:00:00Z,52251.0,50844.93783312169,41059.74648011866,60630.129186124715,,0,0
2020-06-24T13:00:00Z,50999.0,51092.300376079846,49979.08317838408,52205.517573775614,,0,0
2020-06-24T14:00:00Z,49613.0,49939.365838795224,47905.14612103842,51973.585556552025,,0,0
2020-06-24T15:00:00Z,48528.0,49354.92754627353,46554.9214730344,52154.93361951267,,0,0
2020-06-24T16:00:00Z,49116.0,50218.14293718061,46772.97372642633,53663.312147934885,,0,0
2020-06-24T17:00:00Z,49054.0,50785.74862776812,46782.640968099215,54788.85628743702,,0,0
2020-06-24T18:00:00Z,46412.0,48750.27088387137,44252.64923014387,53247.89253759888,,0,0
2020-06-24T19:00:00Z,44347.0,47178.88543150665,42234.14506842877,52123.62579458453,,0,0
2020-06-24T20:00:00Z,46773.0,49404.79785072677,44049.50740720488,54760.08829424866,,0,0
