timestamp,y_true,yhat,lo,hi,z_resid,flag_z,flag_cusum,resid,silver_label
2020-09-12T05:00:00Z,6019.82,6156.892467841033,4618.049095326634,7695.735840355432,-0.4745649899844673,0,0,-137.07246784103336,0.0
2020-07-05T17:00:00Z,5858.54,5903.077037091452,5069.286357187714,6736.867716995191,0.024507564515516,0,1,-44.537037091452476,0.0
2020-07-09T17:00:00Z,6623.56,6504.831685156078,5671.661382909713,7338.001987402442,0.3121380531283106,0,0,118.72831484392282,0.0
2020-08-14T13:00:00Z,6994.77,7092.452279871937,6755.010477157849,7429.894082586025,-0.2696348063743541,0,1,-97.68227987193677,0.0
2020-09-07T23:00:00Z,5977.91,6026.487081337331,4788.832597272824,7264.141565401837,-0.2657042363774379,0,0,-48.57708133733104,0.0
2020-07-30T03:00:00Z,5861.3,5631.359652857968,4176.481003413632,7086.238302302305,0.5458143636861683,0,0,229.9403471420319,0.0
2020-09-10T06:00:00Z,6597.1,6366.721491186265,4779.948935699313,7953.494046673217,0.4278175808524127,0,0,230.3785088137356,0.0
2020-08-11T11:00:00Z,7063.57,7045.950609014841,5243.861876843464,8848.039341186217,-0.0429735593371264,0,0,17.619390985159043,0.0
2020-09-27T19:00:00Z,6559.16,5254.306409409786,4280.423660203927,6228.189158615645,2.5732075037259565,0,1,1304.8535905902136,1.0
2020-09-28T06:00:00Z,7716.62,5359.844971413097,3787.5122550342303,6932.177687791962,4.257778911325364,1,1,2356.7750285869033,1.0
2020-08-16T12:00:00Z,7017.43,7343.286424566067,5497.483156245302,9189.089692886831,-0.6916533712529475,0,1,-325.8564245660664,0.0
2020-07-01T22:00:00Z,5725.91,5850.44591202824,4660.278180463212,7040.613643593268,-0.2284088456487085,0,0,-124.53591202824009,0.0
2020-07-23T19:00:00Z,5965.82,5689.6754337415505,4701.872711928457,6677.478155554644,0.8628344862839714,0,0,276.14456625844923,0.0
2020-06-25T06:00:00Z,6589.27,6390.285550332627,4795.249708824931,7985.3213918403235,,0,0,198.98444966737316,0.0
2020-06-27T04:00:00Z,6031.03,6278.168625739502,4760.870359892887,7795.466891586117,,0,0,-247.13862573950246,0.0
2020-09-12T23:00:00Z,6129.64,4859.257326209813,3622.645423578632,6095.869228840994,2.9968820255225492,0,1,1270.3826737901873,1.0
2020-07-01T14:00:00Z,7026.67,7047.380526367744,6534.205015731958,7560.55603700353,0.0065197834218922,0,0,-20.710526367744023,0.0
2020-07-22T07:00:00Z,6516.97,6387.569800604034,4746.312341088003,8028.827260120064,0.4202991803975702,0,1,129.4001993959664,0.0
2020-08-15T17:00:00Z,5728.68,6778.2571585338055,5947.572400173757,7608.941916893854,-2.61809221175467,0,1,-1049.5771585338052,1.0
2020-07-01T12:00:00Z,7207.25,7114.071842752202,5253.494510591326,8974.649174913078,0.2522595577301488,0,0,93.17815724779757,0.0
2020-07-13T06:00:00Z,6044.93,5985.459464565411,4379.826112933534,7591.092816197287,0.204504939559233,0,1,59.47053543458969,0.0
2020-07-09T18:00:00Z,6464.25,6258.911435624977,5343.44076447612,7174.382106773833,0.5014765294102103,0,0,205.33856437502345,0.0
2020-07-13T23:00:00Z,5184.37,5370.325918615659,4122.538604267869,6618.113232963449,-0.3906317318182379,0,1,-185.95591861565936,0.0
2020-06-30T22:00:00Z,5898.17,5724.255724240993,4529.747443296311,6918.764005185675,0.4264332547830013,0,0,173.91427575900707,0.0
2020-07-13T07:00:00Z,6463.38,6303.991543907819,4653.920617914931,7954.062469900706,0.460277847346621,0,1,159.3884560921815,0.0
2020-09-16T14:00:00Z,7118.46,7041.180663759592,6531.859352299262,7550.501975219921,0.0116404005077625,0,1,77.27933624040816,0.0
2020-06-25T11:00:00Z,7169.58,7070.756267638579,5265.879142771822,8875.633392505335,,0,0,98.82373236142121,0.0
2020-07-07T18:00:00Z,6282.25,5997.892430107329,5082.463459293055,6913.3214009216035,0.6289031385913102,0,0,284.35756989267065,0.0
2020-09-10T08:00:00Z,8408.22,6774.702249655809,5101.317017104831,8448.087482206787,3.886531726256608,1,0,1633.51775034419,1.0
2020-07-09T16:00:00Z,6585.03,6681.148691911856,5939.343869529757,7422.953514293955,-0.158074689790264,0,0,-96.11869191185633,0.0
2020-09-28T07:00:00Z,7536.06,5601.154239355358,3985.370886516131,7216.937592194585,3.408682460775928,1,1,1934.9057606446422,1.0
2020-07-15T00:00:00Z,5393.39,5480.858006163913,4174.145837866797,6787.57017446103,-0.1521414136379353,0,0,-87.46800616391283,0.0
2020-09-06T14:00:00Z,6878.24,7025.115910505948,6514.508257567853,7535.723563444042,-0.5507634840507915,0,1,-146.875910505948,0.0
2020-07-26T03:00:00Z,5572.43,5639.638778646561,4184.1631504687175,7095.114406824405,-0.197968818562382,0,0,-67.20877864656086,0.0
2020-09-26T21:00:00Z,5937.93,5494.246052107536,4385.572004286732,6602.92009992834,0.8388229045663721,0,1,443.68394789246395,0.0
2020-09-28T05:00:00Z,7484.47,4903.487165714188,3375.84044651557,6431.133884912807,4.811195696753994,1,1,2580.982834285812,1.0
2020-07-15T23:00:00Z,5173.04,5569.481642599804,4322.895050814459,6816.0682343851495,-0.9326545303928968,0,0,-396.44164259980425,0.0
2020-09-27T08:00:00Z,6622.71,6383.096799974092,4722.412827108438,8043.780772839747,0.3949391576463024,0,1,239.61320002590764,0.0
2020-08-05T15:00:00Z,7202.61,6884.202310710227,6248.064111276685,7520.340510143768,0.6301178935754453,0,1,318.40768928977286,0.0
