timestamp,y_true,yhat,lo,hi,z_resid,flag_z,flag_cusum,resid,verified_label
2020-08-13T13:00:00Z,45852.0,45728.31587727757,44079.25233886256,47377.37941569259,0.0940560419788672,0,0,123.68412272242858,0.0
2020-09-28T15:00:00Z,50809.0,51936.09390404053,49292.41539878653,54579.77240929453,-0.3493993384217015,0,1,-1127.0939040405283,0.0
2020-08-18T04:00:00Z,36687.0,36669.83405609348,30580.04545683284,42759.62265535412,-0.0587737175306605,0,1,17.165943906518805,0.0
2020-07-27T07:00:00Z,47760.0,34726.59372760388,28007.97132945579,41445.21612575197,2.9145774380162393,0,1,13033.406272396118,1.0
2020-08-31T11:00:00Z,49916.0,38280.76511559588,31031.75205004944,45529.77818114232,3.1656322503384846,1,1,11635.234884404119,1.0
2020-09-21T08:00:00Z,49776.0,37145.04653273199,30428.61917630605,43861.47388915793,3.2214270018136983,1,1,12630.95346726801,1.0
2020-09-21T06:00:00Z,46968.0,32976.92498898133,26603.130456414976,39350.71952154768,3.5838878786186195,1,1,13991.075011018671,1.0
2020-09-15T16:00:00Z,50531.0,51891.10500466896,48851.98771813539,54930.22229120254,-0.3191460476967926,0,0,-1360.1050046689634,0.0
2020-09-21T11:00:00Z,50670.0,39371.01268917501,32171.144227266963,46570.88115108304,2.872503524506618,0,1,11298.987310824989,1.0
2020-08-24T07:00:00Z,45614.0,33877.638833901365,27262.81108786759,40492.466579935135,3.656185240719811,1,1,11736.361166098635,1.0
2020-08-31T07:00:00Z,47460.0,34543.82102923351,27951.60199601332,41136.04006245371,3.625280309687221,1,1,12916.178970766487,1.0
2020-07-08T17:00:00Z,49981.0,101945.37468796987,99680.94102623794,104209.8083497018,-6.750483855515792,1,1,-51964.374687969874,1.0
2020-09-30T03:00:00Z,38846.0,41844.996643745726,36033.34448353739,47656.648803954056,-0.8782934072452494,0,0,-2998.996643745726,0.0
2020-08-24T09:00:00Z,48534.0,37176.41874666602,30224.26751173166,44128.56998160038,3.4640908284345255,1,1,11357.581253333978,1.0
2020-08-29T16:00:00Z,39792.0,38995.40536309942,35938.605574745074,42052.20515145376,0.2335353003213032,0,1,796.5946369005833,0.0
2020-06-29T12:00:00Z,49339.0,37941.74087749006,28127.526458748496,47755.95529623162,2.806259086068807,0,0,11397.259122509939,1.0
2020-08-26T18:00:00Z,46219.0,47193.46375379427,43455.98794870991,50930.93955887863,-0.3875931309161733,0,0,-974.463753794269,0.0
2020-08-16T16:00:00Z,38107.0,37125.48937426827,34043.717429656164,40207.26131888037,0.2358173651981379,0,0,981.5106257317311,0.0
2020-09-05T06:00:00Z,37776.0,47784.14621170863,41383.53311690302,54184.75930651424,-2.6522172013190355,0,1,-10008.146211708627,1.0
2020-09-14T07:00:00Z,48362.0,36828.94420399191,30266.87940459193,43391.00900339188,2.998195125871141,0,1,11533.055796008091,1.0
2020-08-22T16:00:00Z,41133.0,40149.05324859987,37087.908393989725,43210.198103210016,0.325989664922248,0,1,983.9467514001299,0.0
2020-09-05T17:00:00Z,41360.0,40589.44012631662,37190.0571619092,43988.82309072404,0.2108844453089997,0,1,770.5598736833781,0.0
2020-09-14T05:00:00Z,44047.0,32222.087904666747,26012.752620862248,38431.42318847125,3.050410409328861,1,1,11824.912095333253,1.0
2020-09-28T06:00:00Z,53502.0,40919.0728973968,34560.09481117532,47278.05098361828,3.180538835050141,1,1,12582.9271026032,1.0
2020-08-28T20:00:00Z,43771.0,45255.5035696055,40959.03817611708,49551.96896309392,-0.5031741701937309,0,0,-1484.5035696054983,0.0
2020-07-06T08:00:00Z,49509.0,39305.94801590242,30419.34628998107,48192.549741823765,2.672660645679459,0,1,10203.051984097583,1.0
2020-08-17T06:00:00Z,40325.0,30713.008390324023,24248.654040081972,37177.36274056607,3.2195560358257302,1,1,9611.991609675977,1.0
2020-09-06T15:00:00Z,37505.0,36716.60433042109,34056.238271324444,39376.97038951774,0.2114777137331487,0,0,788.3956695789093,0.0
2020-08-24T11:00:00Z,48960.0,37925.95507955426,30652.106888930655,45199.803270177865,3.3150174366321217,1,1,11034.04492044574,1.0
2020-07-08T01:00:00Z,36945.0,38679.79012849778,31639.675796573007,45719.90446042255,-0.2608293086674343,0,1,-1734.790128497778,0.0
2020-08-22T09:00:00Z,42378.0,49674.4738945374,42716.31312806333,56632.63466101146,-2.501515353382461,0,1,-7296.473894537397,1.0
2020-07-06T07:00:00Z,48186.0,37672.388400733216,29025.59203530588,46319.18476616056,2.7851111879028707,0,1,10513.611599266784,1.0
2020-09-28T20:00:00Z,49336.0,52745.71843824414,48484.05456919016,57007.38230729812,-0.9502326133086442,0,1,-3409.718438244141,0.0
2020-08-17T10:00:00Z,47349.0,38923.79266456789,31781.58859568666,46065.99673344912,2.856774095888371,0,1,8425.207335432111,1.0
2020-07-01T21:00:00Z,46901.0,50718.24285045529,44988.78515398839,56447.700546922184,-0.7825642314074539,0,0,-3817.242850455288,0.0
2020-08-17T05:00:00Z,37168.0,28229.251458587,21945.774953502565,34512.72796367143,2.9713493670347635,0,1,8938.748541412999,1.0
2020-09-03T07:00:00Z,48889.0,49712.67273564185,43120.74672063896,56304.59875064474,-0.2179270854862561,0,0,-823.6727356418487,0.0
2020-08-11T10:00:00Z,51588.0,52756.27165074422,45593.262899425215,59919.28040206322,-0.3313834106451975,0,0,-1168.2716507442165,0.0
2020-07-27T10:00:00Z,52214.0,39702.90422450788,32476.55197155812,46929.256477457646,2.7492342686160383,0,1,12511.095775492118,1.0
