timestamp,load,solar,hour,dayofweek,month,dayofyear,hour_sin,hour_cos,dow_sin,dow_cos,y_true,y_pred,residual,z_score,anomaly_flag,silver_label
2020-04-10 06:00:00+00:00,4783.54,203.25,6,4,4,101,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,4783.54,6245.9673,-1462.42728515625,-3.2926639795796384,1,-1
2020-04-10 07:00:00+00:00,4879.56,532.07,7,4,4,101,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,4879.56,6598.5845,-1719.0244726562496,-3.79647854572555,1,1
2020-04-10 08:00:00+00:00,5169.99,894.97,8,4,4,101,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,5169.99,6691.55,-1521.5598046875002,-3.2804271633434765,1,-1
2020-04-20 09:00:00+00:00,8324.58,1028.09,9,0,4,111,0.7071067811865476,-0.7071067811865475,0.0,1.0,8324.58,6827.2393,1497.3407421875,3.0580319973334253,1,-1
2020-04-20 10:00:00+00:00,8812.2,1312.76,10,0,4,111,0.49999999999999994,-0.8660254037844387,0.0,1.0,8812.2,6830.1074,1982.0925781250007,4.035793347721524,1,1
2020-04-20 11:00:00+00:00,8581.81,1319.43,11,0,4,111,0.258819045102521,-0.9659258262890682,0.0,1.0,8581.81,6738.425,1843.3851953124995,3.6901071247911146,1,1
2020-04-20 12:00:00+00:00,8366.32,1295.93,12,0,4,111,1.2246467991473532e-16,-1.0,0.0,1.0,8366.32,6677.7896,1688.5304492187497,3.3184597053907865,1,-1
2020-04-20 13:00:00+00:00,8200.57,1222.9,13,0,4,111,-0.2588190451025208,-0.9659258262890683,0.0,1.0,8200.57,6553.7803,1646.7897265624997,3.176811952952706,1,-1
2020-04-20 14:00:00+00:00,8018.48,1057.48,14,0,4,111,-0.4999999999999997,-0.8660254037844388,0.0,1.0,8018.48,6360.774,1657.7060742187496,3.1418227342284806,1,-1
2020-04-20 15:00:00+00:00,7924.26,777.23,15,0,4,111,-0.7071067811865471,-0.7071067811865479,0.0,1.0,7924.26,6210.6553,1713.6047265625002,3.195083228466865,1,-1
2020-04-30 12:00:00+00:00,8939.63,316.1,12,3,4,121,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,8939.63,6878.515,2061.114863281249,3.467391918441256,1,-1
2020-04-30 13:00:00+00:00,8720.49,393.99,13,3,4,121,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,8720.49,6773.7217,1946.7683203124998,3.1912502124605973,1,-1
2020-05-11 13:00:00+00:00,8329.11,608.18,13,0,5,132,-0.2588190451025208,-0.9659258262890683,0.0,1.0,8329.11,6336.39,1992.7198632812506,3.7148648226860974,1,1
2020-05-11 14:00:00+00:00,7954.23,639.95,14,0,5,132,-0.4999999999999997,-0.8660254037844388,0.0,1.0,7954.23,6228.9194,1725.3105664062496,3.0814259928162677,1,-1
2020-05-11 15:00:00+00:00,7913.54,347.2,15,0,5,132,-0.7071067811865471,-0.7071067811865479,0.0,1.0,7913.54,6127.3115,1786.2284765625,3.1533454738309876,1,-1
2020-05-21 06:00:00+00:00,4838.4,491.36,6,3,5,142,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,4838.4,6166.1514,-1327.7513671875004,-3.085934413545976,1,-1
2020-05-21 07:00:00+00:00,4994.79,905.01,7,3,5,142,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,4994.79,6605.075,-1610.2851953125,-3.6358192228436077,1,1
2020-05-23 16:00:00+00:00,7606.06,97.44,16,5,5,144,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,7606.06,5911.7144,1694.3456445312504,3.07768185288221,1,-1
2020-05-23 17:00:00+00:00,7687.35,180.68,17,5,5,144,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,7687.35,5779.7065,1907.6434570312504,3.4404618559567286,1,-1
2020-05-30 10:00:00+00:00,7901.13,1662.33,10,5,5,151,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,7901.13,6240.9116,1660.21837890625,3.0522242070476193,1,-1
2020-06-27 10:00:00+00:00,7748.55,1531.43,10,5,6,179,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,7748.55,6182.5806,1565.9694335937502,3.7288512811905474,1,1
2020-06-27 11:00:00+00:00,7774.94,1558.29,11,5,6,179,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,7774.94,6258.173,1516.7671484374996,3.551586461295766,1,1
2020-06-27 12:00:00+00:00,7736.89,1638.71,12,5,6,179,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,7736.89,6291.909,1444.9808203125003,3.3058655125063643,1,-1
2020-06-27 14:00:00+00:00,7571.31,1384.54,14,5,6,179,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,7571.31,6191.109,1380.2011132812504,3.044432259792059,1,-1
2020-06-27 16:00:00+00:00,7479.64,686.63,16,5,6,179,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,7479.64,6050.5713,1429.0687109375003,3.0824335385471096,1,-1
2020-07-31 03:00:00+00:00,4701.44,0.0,3,4,7,213,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,4701.44,5947.846,-1246.4061914062504,-4.241659703262586,1,1
2020-07-31 04:00:00+00:00,4894.62,8.46,4,4,7,213,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,4894.62,5837.7925,-943.1724804687501,-3.136765223833816,1,-1
2020-08-04 01:00:00+00:00,6722.55,0.0,1,1,8,217,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,6722.55,5464.4644,1258.0856445312502,3.975592937615547,1,1
2020-08-04 02:00:00+00:00,6589.1,0.0,2,1,8,217,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,6589.1,5475.665,1113.4349609375004,3.410097091129483,1,-1
2020-08-04 04:00:00+00:00,6400.42,2.16,4,1,8,217,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,6400.42,5328.564,1071.85603515625,3.1672723120512467,1,-1
2020-08-13 04:00:00+00:00,5305.18,0.0,4,3,8,226,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,5305.18,6666.9136,-1361.7335742187497,-4.034426411756441,1,1
2020-08-20 01:00:00+00:00,6653.46,0.0,1,3,8,233,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,6653.46,5472.981,1180.47904296875,3.022013131816813,1,-1
2020-08-20 02:00:00+00:00,6669.54,0.0,2,3,8,233,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,6669.54,5159.0664,1510.47359375,3.8198025999749325,1,1
2020-08-20 03:00:00+00:00,6496.36,0.0,3,3,8,233,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,6496.36,5014.402,1481.9581445312497,3.6617305561427287,1,1
2020-08-20 04:00:00+00:00,6574.1,0.0,4,3,8,233,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,6574.1,5138.413,1435.6869140625004,3.4676488734086597,1,-1
2020-08-21 00:00:00+00:00,6992.29,0.0,0,4,8,234,0.0,1.0,-0.433883739117558,-0.9009688679024191,6992.29,5342.934,1649.35591796875,3.5096408968796573,1,1
2020-08-21 01:00:00+00:00,7066.27,0.0,1,4,8,234,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,7066.27,5387.1763,1679.0937304687504,3.5033105017877157,1,1
2020-08-21 02:00:00+00:00,6983.64,0.0,2,4,8,234,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,6983.64,5483.528,1500.1121679687503,3.0498353504346483,1,-1
2020-09-01 04:00:00+00:00,5267.76,0.0,4,1,9,245,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,5267.76,6748.221,-1480.4611914062498,-3.1782993678397853,1,-1
2020-09-22 01:00:00+00:00,4909.64,0.0,1,1,9,266,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,4909.64,6068.0327,-1158.3927148437497,-3.541824408388813,1,1
2020-09-22 02:00:00+00:00,4772.47,0.0,2,1,9,266,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,4772.47,6027.103,-1254.6330273437497,-3.740932620354708,1,1
2020-09-22 03:00:00+00:00,4562.4,0.0,3,1,9,266,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,4562.4,5954.395,-1391.9950195312504,-4.038754198664107,1,1
2020-09-25 00:00:00+00:00,7071.98,0.0,0,4,9,269,0.0,1.0,-0.433883739117558,-0.9009688679024191,7071.98,5761.94,1310.0400585937496,3.301957586740229,1,-1
2020-09-25 01:00:00+00:00,7034.61,0.0,1,4,9,269,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,7034.61,5785.0903,1249.5196679687497,3.0786068572018195,1,-1
2020-09-29 06:00:00+00:00,5078.56,6.05,6,1,9,273,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,5078.56,7490.7256,-2412.1655859374996,-6.165048326653904,1,1
